timestamp_utc,timestamp_local,market_label,smard_region,total_load_mw,residual_load_official_mw,wind_onshore_validated_mw,solar_validated_mw,wind_offshore_validated_mw,missing_any_flag,recomputed_residual_mw,signed_error_mw,abs_error_mw,date_utc
2021-01-06 17:00:00+00:00,2021-01-06 18:00:00+01:00,DE-LU,DE,67924.0,60587.75,4435.5,1.0,2897.25,False,60590.25,2.5,2.5,2021-01-06
2021-01-06 05:00:00+00:00,2021-01-06 06:00:00+01:00,DE-LU,DE,55726.75,43935.25,6979.75,1.0,4808.25,False,43937.75,2.5,2.5,2021-01-06
2021-01-04 16:00:00+00:00,2021-01-04 17:00:00+01:00,DE-LU,DE,71774.25,55174.5,10734.0,1.0,5862.25,False,55177.0,2.5,2.5,2021-01-04
2021-01-04 15:00:00+00:00,2021-01-04 16:00:00+01:00,DE-LU,DE,69889.75,53328.5,10789.25,8.5,5761.0,False,53331.0,2.5,2.5,2021-01-04
2021-01-04 18:00:00+00:00,2021-01-04 19:00:00+01:00,DE-LU,DE,69329.0,53040.5,10452.0,1.0,5833.0,False,53043.0,2.5,2.5,2021-01-04
2021-01-04 11:00:00+00:00,2021-01-04 12:00:00+01:00,DE-LU,DE,70973.75,53735.0,10377.25,1156.5,5702.5,False,53737.5,2.5,2.5,2021-01-04
2021-01-06 00:00:00+00:00,2021-01-06 01:00:00+01:00,DE-LU,DE,50959.0,36439.5,9536.75,1.0,4979.25,False,36442.0,2.5,2.5,2021-01-06
2021-01-06 02:00:00+00:00,2021-01-06 03:00:00+01:00,DE-LU,DE,50013.75,36283.0,8977.75,1.0,4749.75,False,36285.25,2.25,2.25,2021-01-06
2021-01-06 18:00:00+00:00,2021-01-06 19:00:00+01:00,DE-LU,DE,66017.5,59219.75,4339.5,1.0,2455.25,False,59221.75,2.0,2.0,2021-01-06
2021-01-06 13:00:00+00:00,2021-01-06 14:00:00+01:00,DE-LU,DE,65865.0,57631.75,4097.25,918.25,3215.75,False,57633.75,2.0,2.0,2021-01-06
2021-01-04 19:00:00+00:00,2021-01-04 20:00:00+01:00,DE-LU,DE,65846.0,49828.0,10125.5,1.0,5889.5,False,49830.0,2.0,2.0,2021-01-04
2021-01-04 09:00:00+00:00,2021-01-04 10:00:00+01:00,DE-LU,DE,68520.75,51739.75,10230.75,716.0,5832.25,False,51741.75,2.0,2.0,2021-01-04
2021-01-06 22:00:00+00:00,2021-01-06 23:00:00+01:00,DE-LU,DE,55617.5,49198.0,4721.5,1.0,1695.25,False,49199.75,1.75,1.75,2021-01-06
2021-01-06 20:00:00+00:00,2021-01-06 21:00:00+01:00,DE-LU,DE,60308.25,53874.5,4415.0,1.0,2016.0,False,53876.25,1.75,1.75,2021-01-06
2021-01-06 04:00:00+00:00,2021-01-06 05:00:00+01:00,DE-LU,DE,51908.75,39852.25,7573.75,1.0,4480.0,False,39854.0,1.75,1.75,2021-01-06
2021-01-06 19:00:00+00:00,2021-01-06 20:00:00+01:00,DE-LU,DE,62859.0,56457.5,4250.75,1.0,2148.0,False,56459.25,1.75,1.75,2021-01-06
2021-01-05 07:00:00+00:00,2021-01-05 08:00:00+01:00,DE-LU,DE,67088.25,52517.0,8851.75,99.0,5619.0,False,52518.5,1.5,1.5,2021-01-05
2021-01-05 08:00:00+00:00,2021-01-05 09:00:00+01:00,DE-LU,DE,68746.75,53923.75,8630.0,347.75,5843.75,False,53925.25,1.5,1.5,2021-01-05
2021-01-06 15:00:00+00:00,2021-01-06 16:00:00+01:00,DE-LU,DE,65447.5,58014.75,4295.0,23.0,3113.25,False,58016.25,1.5,1.5,2021-01-06
2021-01-04 08:00:00+00:00,2021-01-04 09:00:00+01:00,DE-LU,DE,67169.25,50891.5,10600.75,278.5,5397.25,False,50892.75,1.25,1.25,2021-01-04
2021-01-05 01:00:00+00:00,2021-01-05 02:00:00+01:00,DE-LU,DE,49971.25,35429.25,9161.5,1.0,5378.25,False,35430.5,1.25,1.25,2021-01-05
2021-01-05 05:00:00+00:00,2021-01-05 06:00:00+01:00,DE-LU,DE,58907.5,44162.0,9378.75,1.0,5364.75,False,44163.0,1.0,1.0,2021-01-05
2021-01-06 21:00:00+00:00,2021-01-06 22:00:00+01:00,DE-LU,DE,58882.0,52359.25,4660.25,1.0,1860.75,False,52360.0,0.75,0.75,2021-01-06
2021-01-04 05:00:00+00:00,2021-01-04 06:00:00+01:00,DE-LU,DE,55236.25,39168.25,12440.0,1.0,3627.75,False,39167.5,-0.75,0.75,2021-01-04
2021-01-04 07:00:00+00:00,2021-01-04 08:00:00+01:00,DE-LU,DE,65082.0,48706.75,11044.75,99.75,5230.0,False,48707.5,0.75,0.75,2021-01-04
2021-01-05 04:00:00+00:00,2021-01-05 05:00:00+01:00,DE-LU,DE,53508.0,39056.5,9080.0,1.0,5369.75,False,39057.25,0.75,0.75,2021-01-05
2021-01-03 23:00:00+00:00,2021-01-04 00:00:00+01:00,DE-LU,DE,47665.0,30399.75,13713.75,1.0,3550.0,False,30400.25,0.5,0.5,2021-01-03
2021-01-05 03:00:00+00:00,2021-01-05 04:00:00+01:00,DE-LU,DE,50979.25,36467.5,9146.5,1.0,5363.75,False,36468.0,0.5,0.5,2021-01-05
2021-01-04 06:00:00+00:00,2021-01-04 07:00:00+01:00,DE-LU,DE,61481.0,45481.5,11767.5,1.25,4231.25,False,45481.0,-0.5,0.5,2021-01-04
2021-01-05 02:00:00+00:00,2021-01-05 03:00:00+01:00,DE-LU,DE,50299.5,35720.5,9200.25,1.0,5377.25,False,35721.0,0.5,0.5,2021-01-05
2021-01-04 04:00:00+00:00,2021-01-04 05:00:00+01:00,DE-LU,DE,49611.25,33628.75,12437.5,1.0,3543.75,False,33629.0,0.25,0.25,2021-01-04
2021-01-04 03:00:00+00:00,2021-01-04 04:00:00+01:00,DE-LU,DE,47027.0,30726.25,12743.75,1.0,3555.75,False,30726.5,0.25,0.25,2021-01-04
2021-01-04 01:00:00+00:00,2021-01-04 02:00:00+01:00,DE-LU,DE,45800.25,29018.5,13232.25,1.0,3548.25,False,29018.75,0.25,0.25,2021-01-04
2021-01-04 00:00:00+00:00,2021-01-04 01:00:00+01:00,DE-LU,DE,46006.0,29038.25,13414.25,1.0,3552.75,False,29038.0,-0.25,0.25,2021-01-04
