timestamp_utc,price_eur_per_mwh,risk_score,signal_positive,event_positive,confusion_bucket,price_event_labels,regime_label,reason_codes
2024-08-17 02:00:00+00:00,110.59,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 03:00:00+00:00,110.84,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 04:00:00+00:00,106.7,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 05:00:00+00:00,103.97,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 06:00:00+00:00,103.43,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 07:00:00+00:00,84.0,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 08:00:00+00:00,69.49,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 09:00:00+00:00,54.28,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 10:00:00+00:00,46.93,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 11:00:00+00:00,40.71,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 12:00:00+00:00,39.43,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 13:00:00+00:00,39.56,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 14:00:00+00:00,59.09,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-17 15:00:00+00:00,88.4,20,False,False,TN,NO_PRICE_EVENT,NORMAL,HIGH_RESIDUAL_LOAD_RAMP
2024-08-17 16:00:00+00:00,119.68,20,False,False,TN,NO_PRICE_EVENT,NORMAL,HIGH_RESIDUAL_LOAD_RAMP
2024-08-17 17:00:00+00:00,140.56,0,False,True,FN,HIGH_PRICE_LEVEL,NORMAL,NO_RULE_TRIGGERED
2024-08-17 18:00:00+00:00,149.18,25,False,True,FN,HIGH_PRICE_LEVEL,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 19:00:00+00:00,126.98,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 20:00:00+00:00,116.7,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 21:00:00+00:00,105.82,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 22:00:00+00:00,111.82,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-17 23:00:00+00:00,112.8,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 00:00:00+00:00,106.17,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 01:00:00+00:00,106.22,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 02:00:00+00:00,104.75,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 03:00:00+00:00,104.97,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 04:00:00+00:00,99.53,25,False,False,TN,NO_PRICE_EVENT,NORMAL,LOW_RENEWABLE_SHARE
2024-08-18 05:00:00+00:00,95.2,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 06:00:00+00:00,88.2,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 07:00:00+00:00,82.32,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 08:00:00+00:00,72.12,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 09:00:00+00:00,72.52,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 10:00:00+00:00,66.03,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 11:00:00+00:00,33.64,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 12:00:00+00:00,17.72,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
2024-08-18 13:00:00+00:00,51.28,0,False,False,TN,NO_PRICE_EVENT,NORMAL,NO_RULE_TRIGGERED
