timestamp_utc,timestamp_local,market_label,smard_region,total_load_mw,residual_load_official_mw,wind_onshore_validated_mw,wind_offshore_validated_mw,solar_validated_mw,wind_total_mw,renewable_generation_mw,renewable_share,wind_share,solar_share,load_ramp_mw,residual_load_ramp_mw,renewable_generation_ramp_mw,local_date,local_hour,local_weekday,is_weekend,feature_schema_version,dashboard_schema_version
2024-05-31 22:00:00+00:00,2024-06-01 00:00:00+02:00,DE-LU,DE,40806.25,30552.75,6815.5,3435.5,2.5,10251.0,10253.5,0.2512727829682953,0.2512115178434676,6.126512482769183e-05,,,,2024-06-01,0,Saturday,True,3A.1,3B.1
2024-05-31 23:00:00+00:00,2024-06-01 01:00:00+02:00,DE-LU,DE,38783.75,28528.5,6752.5,3499.75,3.0,10252.25,10255.25,0.2644213104715248,0.2643439584877687,7.735198375608342e-05,-2022.5,-2024.25,1.75,2024-06-01,1,Saturday,True,3A.1,3B.1
2024-06-01 00:00:00+00:00,2024-06-01 02:00:00+02:00,DE-LU,DE,37493.5,26441.0,7183.75,3866.0,2.75,11049.75,11052.5,0.2947844293010788,0.2947110832544308,7.334604664808566e-05,-1290.25,-2087.5,797.25,2024-06-01,2,Saturday,True,3A.1,3B.1
2024-06-01 01:00:00+00:00,2024-06-01 03:00:00+02:00,DE-LU,DE,36841.0,25610.0,7598.5,3629.75,2.75,11228.25,11231.0,0.3048505740886512,0.3047759289921555,7.464509649575201e-05,-652.5,-831.0,178.5,2024-06-01,3,Saturday,True,3A.1,3B.1
2024-06-01 02:00:00+00:00,2024-06-01 04:00:00+02:00,DE-LU,DE,36769.0,25637.5,7691.0,3434.0,6.5,11125.0,11131.5,0.3027414397998313,0.3025646604476597,0.0001767793521716,-72.0,27.5,-99.5,2024-06-01,4,Saturday,True,3A.1,3B.1
2024-06-01 03:00:00+00:00,2024-06-01 05:00:00+02:00,DE-LU,DE,37415.25,25827.25,7791.5,3514.0,282.5,11305.5,11588.0,0.3097132853582429,0.3021628881271674,0.0075503972310755,646.25,189.75,456.5,2024-06-01,5,Saturday,True,3A.1,3B.1
2024-06-01 04:00:00+00:00,2024-06-01 06:00:00+02:00,DE-LU,DE,38945.75,26427.5,7439.75,3519.25,1559.25,10959.0,12518.25,0.3214278836586791,0.2813914226841183,0.0400364609745607,1530.5,600.25,930.25,2024-06-01,6,Saturday,True,3A.1,3B.1
2024-06-01 05:00:00+00:00,2024-06-01 07:00:00+02:00,DE-LU,DE,41498.75,27623.5,6529.0,3194.25,4152.0,9723.25,13875.25,0.3343534443808548,0.2343022380192174,0.1000512063616374,2553.0,1196.0,1357.0,2024-06-01,7,Saturday,True,3A.1,3B.1
2024-06-01 06:00:00+00:00,2024-06-01 08:00:00+02:00,DE-LU,DE,44729.75,28001.25,6095.25,3015.0,7618.25,9110.25,16728.5,0.3739904649590038,0.2036731705408592,0.1703172944181445,3231.0,377.75,2853.25,2024-06-01,8,Saturday,True,3A.1,3B.1
2024-06-01 07:00:00+00:00,2024-06-01 09:00:00+02:00,DE-LU,DE,48103.25,26963.25,6322.5,2926.5,11891.0,9249.0,21140.0,0.439471345491209,0.1922739108064424,0.2471974346847666,3373.5,-1038.0,4411.5,2024-06-01,9,Saturday,True,3A.1,3B.1
