risk_score_bin,rows,price_q10,price_q50,price_q90,price_event_share,version
0,520,-0.06099999999999994,70.0,113.99500000000002,0.2173076923076923,8F.1
1-30,156,40.989999999999995,91.125,125.735,0.2692307692307692,8F.1
31-60,40,107.017,129.10500000000002,200.013,0.6,8F.1
61-90,4,101.625,118.14500000000001,138.109,0.5,8F.1
