timestamp_utc,timestamp_local,market_label,smard_region,total_load_mw,residual_load_official_mw,wind_onshore_validated_mw,wind_offshore_validated_mw,solar_validated_mw,wind_total_mw,renewable_generation_mw,renewable_share,wind_share,solar_share,load_ramp_mw,residual_load_ramp_mw,renewable_generation_ramp_mw,local_date,local_hour,local_weekday,is_weekend,feature_schema_version,dashboard_schema_version
2024-07-31 22:00:00+00:00,2024-08-01 00:00:00+02:00,DE-LU,DE,44247.75,38758.0,4526.25,960.5,3.0,5486.75,5489.75,0.1240684554581871,0.124000655400557,6.780005763004899e-05,,,,2024-08-01,0,Thursday,False,3A.1,3B.1
2024-07-31 23:00:00+00:00,2024-08-01 01:00:00+02:00,DE-LU,DE,42449.75,37292.25,4113.5,1041.5,2.5,5155.0,5157.5,0.1214965930305832,0.1214376998686682,5.889316191497005e-05,-1798.0,-1465.75,-332.25,2024-08-01,1,Thursday,False,3A.1,3B.1
2024-08-01 00:00:00+00:00,2024-08-01 02:00:00+02:00,DE-LU,DE,41238.75,36701.0,3524.5,1011.25,2.0,4535.75,4537.75,0.1100360704434542,0.1099875723682216,4.8498075232639206e-05,-1211.0,-591.25,-619.75,2024-08-01,2,Thursday,False,3A.1,3B.1
2024-08-01 01:00:00+00:00,2024-08-01 03:00:00+02:00,DE-LU,DE,41059.75,36991.0,3163.5,903.25,2.0,4066.75,4068.75,0.0990933943825766,0.0990446848799615,4.8709502615091424e-05,-179.0,290.0,-469.0,2024-08-01,3,Thursday,False,3A.1,3B.1
2024-08-01 02:00:00+00:00,2024-08-01 04:00:00+02:00,DE-LU,DE,41754.5,38157.25,2842.75,752.0,2.5,3594.75,3597.25,0.0861523907602773,0.0860925169742183,5.987378605898766e-05,694.75,1166.25,-471.5,2024-08-01,4,Thursday,False,3A.1,3B.1
2024-08-01 03:00:00+00:00,2024-08-01 05:00:00+02:00,DE-LU,DE,44452.5,40785.5,2977.5,632.25,57.25,3609.75,3667.0,0.0824925482256341,0.0812046566559811,0.001287891569653,2698.0,2628.25,69.75,2024-08-01,5,Thursday,False,3A.1,3B.1
2024-08-01 04:00:00+00:00,2024-08-01 06:00:00+02:00,DE-LU,DE,50009.0,44792.75,3117.25,475.5,1623.5,3592.75,5216.25,0.1043062248795216,0.071842068427683,0.0324641564518386,5556.5,4007.25,1549.25,2024-08-01,6,Thursday,False,3A.1,3B.1
2024-08-01 05:00:00+00:00,2024-08-01 07:00:00+02:00,DE-LU,DE,55335.0,45475.5,2356.25,476.75,7026.5,2833.0,9859.5,0.1781783681214421,0.0511972530947863,0.1269811150266558,5326.0,682.75,4643.25,2024-08-01,7,Thursday,False,3A.1,3B.1
2024-08-01 06:00:00+00:00,2024-08-01 08:00:00+02:00,DE-LU,DE,58745.75,41997.25,1082.25,573.25,15093.0,1655.5,16748.5,0.2851014754258819,0.0281807620125711,0.2569207134133107,3410.75,-3478.25,6889.0,2024-08-01,8,Thursday,False,3A.1,3B.1
2024-08-01 07:00:00+00:00,2024-08-01 09:00:00+02:00,DE-LU,DE,60659.0,35992.75,850.75,464.75,23350.75,1315.5,24666.25,0.4066379267709655,0.0216868065744572,0.3849511201965083,1913.25,-6004.5,7917.75,2024-08-01,9,Thursday,False,3A.1,3B.1
2024-08-01 08:00:00+00:00,2024-08-01 10:00:00+02:00,DE-LU,DE,61800.25,30721.25,991.5,418.25,29669.25,1409.75,31079.0,0.502894405766967,0.0228113963940275,0.4800830093729394,1141.25,-5271.5,6412.75,2024-08-01,10,Thursday,False,3A.1,3B.1
2024-08-01 09:00:00+00:00,2024-08-01 11:00:00+02:00,DE-LU,DE,63135.25,29087.0,1340.5,505.25,32202.5,1845.75,34048.25,0.5392906498350762,0.0292348569143228,0.5100557929207534,1335.0,-1634.25,2969.25,2024-08-01,11,Thursday,False,3A.1,3B.1
2024-08-01 10:00:00+00:00,2024-08-01 12:00:00+02:00,DE-LU,DE,62350.75,29086.75,1313.0,433.5,31517.5,1746.5,33264.0,0.5334979932077801,0.0280108900053327,0.5054871032024475,-784.5,-0.25,-784.25,2024-08-01,12,Thursday,False,3A.1,3B.1
2024-08-01 11:00:00+00:00,2024-08-01 13:00:00+02:00,DE-LU,DE,61580.5,30583.0,1337.75,447.0,29212.75,1784.75,30997.5,0.5033655134336357,0.0289823889055788,0.4743831245280567,-770.25,1496.25,-2266.5,2024-08-01,13,Thursday,False,3A.1,3B.1
2024-08-01 12:00:00+00:00,2024-08-01 14:00:00+02:00,DE-LU,DE,59936.0,30535.5,1942.0,383.0,27075.5,2325.0,29400.5,0.4905315670048051,0.0387913774693005,0.4517401895355045,-1644.5,-47.5,-1597.0,2024-08-01,14,Thursday,False,3A.1,3B.1
2024-08-01 13:00:00+00:00,2024-08-01 15:00:00+02:00,DE-LU,DE,59070.5,32530.25,2399.75,502.25,23638.25,2902.0,26540.25,0.4492978728807103,0.0491277371953851,0.4001701356853251,-865.5,1994.75,-2860.25,2024-08-01,15,Thursday,False,3A.1,3B.1
2024-08-01 14:00:00+00:00,2024-08-01 16:00:00+02:00,DE-LU,DE,57876.0,35452.25,2682.25,664.0,19077.5,3346.25,22423.75,0.3874447093786716,0.0578175755062547,0.3296271338724169,-1194.5,2922.0,-4116.5,2024-08-01,16,Thursday,False,3A.1,3B.1
2024-08-01 15:00:00+00:00,2024-08-01 17:00:00+02:00,DE-LU,DE,57956.25,40311.0,3429.75,919.5,13296.0,4349.25,17645.25,0.3044581041734067,0.0750436751860239,0.2294144289873827,80.25,4858.75,-4778.5,2024-08-01,17,Thursday,False,3A.1,3B.1
2024-08-01 16:00:00+00:00,2024-08-01 18:00:00+02:00,DE-LU,DE,58007.25,44469.25,4167.0,1266.25,8104.75,5433.25,13538.0,0.233384620025945,0.0936650160109296,0.1397196040150153,51.0,4158.25,-4107.25,2024-08-01,18,Thursday,False,3A.1,3B.1
2024-08-01 17:00:00+00:00,2024-08-01 19:00:00+02:00,DE-LU,DE,56626.25,46241.0,5260.75,1587.75,3536.75,6848.5,10385.25,0.1833999249464691,0.1209421425575594,0.0624577823889097,-1381.0,1771.75,-3152.75,2024-08-01,19,Thursday,False,3A.1,3B.1
2024-08-01 18:00:00+00:00,2024-08-01 20:00:00+02:00,DE-LU,DE,54267.5,46440.0,5621.25,1536.0,670.25,7157.25,7827.5,0.1442391855161929,0.1318883309531487,0.0123508545630441,-2358.75,199.0,-2557.75,2024-08-01,20,Thursday,False,3A.1,3B.1
2024-08-01 19:00:00+00:00,2024-08-01 21:00:00+02:00,DE-LU,DE,52602.25,45286.0,5844.75,1462.25,9.25,7307.0,7316.25,0.1390862558160535,0.1389104078247603,0.0001758479912931,-1665.25,-1154.0,-511.25,2024-08-01,21,Thursday,False,3A.1,3B.1
