reason_code,rows,signal_positive_rows,price_event_rows,price_event_share,mean_price,median_price,mean_risk_score,version
HIGH_RESIDUAL_LOAD,111,8,64,0.5765765765765766,114.01234234234235,112.74,36.26126126126126,8F.1
HIGH_RENEWABLE_GENERATION_RAMP,64,3,28,0.4375,82.58812499999999,89.375,29.0625,8F.1
HIGH_RESIDUAL_LOAD_RAMP,69,3,29,0.42028985507246375,80.71985507246379,89.29,30.144927536231883,8F.1
HIGH_LOAD_RAMP,63,5,22,0.3492063492063492,113.72333333333336,117.89,23.96825396825397,8F.1
LOW_RENEWABLE_SHARE,58,5,18,0.3103448275862069,128.82741379310343,110.215,36.12068965517241,8F.1
