held_out_year,months_used,effect_pp,min_month_effect_pp,max_month_effect_pp
2020,48,47.6756502800591,-14.417177914110429,76.05948933929983
2021,48,49.39198367961657,-14.417177914110429,76.44859813084112
2022,48,48.7907379313503,5.661140315406393,76.44859813084112
2023,48,45.79398480722845,-14.417177914110429,76.44859813084112
2024,48,48.3917754026504,-14.417177914110429,76.44859813084112
