reason_code,count,share_of_rows,risk_diagnostic_schema_version
NO_RULE_TRIGGERED,550,0.739247311827957,4B.1
LOW_RENEWABLE_SHARE,71,0.09543010752688172,4B.1
HIGH_RENEWABLE_GENERATION_RAMP,59,0.0793010752688172,4B.1
HIGH_RESIDUAL_LOAD_RAMP,50,0.06720430107526881,4B.1
HIGH_LOAD_RAMP,49,0.06586021505376344,4B.1
HIGH_RESIDUAL_LOAD,40,0.053763440860215055,4B.1
