risk_score_bin,rows,price_q10,price_q50,price_q90,price_event_share,version
0,491,-0.8,62.2,102.22,0.2219959266802444,8F.1
1-30,188,49.464,87.355,119.63600000000001,0.2553191489361702,8F.1
31-60,54,102.462,120.0,184.42100000000002,0.6851851851851852,8F.1
61-90,11,92.81,106.16,136.49,0.2727272727272727,8F.1
