bucket,rows,mean_price,median_price,max_price,min_price,mean_abs_price_ramp,mean_risk_score,max_risk_score,version
FN,189,74.9478835978836,73.17,289.27,-59.96,29.483915343915346,13.492063492063492,55.0,8F.1
FP,5,118.274,119.75,123.51,110.86,21.509999999999998,66.0,70.0,8F.1
TN,547,83.89131627056673,89.55,128.57,0.47,11.57952380952381,5.0182815356489945,50.0,8F.1
TP,3,132.67666666666665,134.54,138.49,125.0,39.31666666666668,66.66666666666667,70.0,8F.1
