risk_score_bin,rows,price_q10,price_q50,price_q90,price_event_share,version
0,550,-0.7119999999999999,72.4,102.46100000000003,0.2290909090909091,8F.1
1-30,165,21.504000000000005,88.22,119.29199999999999,0.3333333333333333,8F.1
31-60,26,102.125,129.395,170.29000000000002,0.8076923076923077,8F.1
61-90,3,105.52,107.48,120.568,0.3333333333333333,8F.1
