timestamp_utc,price_eur_per_mwh,price_ramp_eur_per_mwh,risk_score,regime_label,reason_codes,price_event_labels,confusion_bucket
2024-08-16 20:00:00+00:00,134.54,-37.29000000000002,70,STRESSED,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE|HIGH_LOAD_RAMP,HIGH_PRICE_LEVEL,TP
2024-08-29 20:00:00+00:00,125.0,-44.09,70,STRESSED,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE|HIGH_LOAD_RAMP,HIGH_PRICE_RAMP_DOWN,TP
2024-08-14 20:00:00+00:00,120.43,-28.269999999999985,70,STRESSED,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE|HIGH_LOAD_RAMP,NO_PRICE_EVENT,FP
2024-08-15 04:00:00+00:00,119.75,10.840000000000003,70,STRESSED,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE|HIGH_LOAD_RAMP,NO_PRICE_EVENT,FP
2024-08-26 20:00:00+00:00,110.86,-32.959999999999994,70,STRESSED,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE|HIGH_LOAD_RAMP,NO_PRICE_EVENT,FP
2024-08-08 17:00:00+00:00,138.49,36.57000000000001,60,STRESSED,HIGH_RESIDUAL_LOAD|HIGH_RESIDUAL_LOAD_RAMP|HIGH_RENEWABLE_GENERATION_RAMP,HIGH_PRICE_LEVEL,TP
2024-08-29 16:00:00+00:00,123.51,18.13000000000001,60,STRESSED,HIGH_RESIDUAL_LOAD|HIGH_RESIDUAL_LOAD_RAMP|HIGH_RENEWABLE_GENERATION_RAMP,NO_PRICE_EVENT,FP
2024-08-26 16:00:00+00:00,116.82,17.349999999999994,60,STRESSED,HIGH_RESIDUAL_LOAD|HIGH_RESIDUAL_LOAD_RAMP|HIGH_RENEWABLE_GENERATION_RAMP,NO_PRICE_EVENT,FP
2024-08-29 18:00:00+00:00,289.27,61.77999999999997,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL|HIGH_PRICE_RAMP_UP,FN
2024-08-16 18:00:00+00:00,243.12,12.599999999999994,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL,FN
2024-08-26 18:00:00+00:00,231.06,40.75,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL|HIGH_PRICE_RAMP_UP,FN
2024-08-14 18:00:00+00:00,218.92,57.50999999999999,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL|HIGH_PRICE_RAMP_UP,FN
2024-08-19 18:00:00+00:00,203.83,3.830000000000013,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL,FN
2024-08-19 17:00:00+00:00,200.0,86.03,55,WATCH,HIGH_RESIDUAL_LOAD|LOW_RENEWABLE_SHARE,HIGH_PRICE_LEVEL|HIGH_PRICE_RAMP_UP,FN
