rows,signal_rows,target_event_rows,tp,fp,fn,tn,precision,recall,base_event_rate,signal_event_rate,event_lift,month,start,end,mode,horizon_hours,target_definition,version
2952,41,773,19,22,754,2157,0.4634146341463415,0.02457956015523933,0.26185636856368566,0.4634146341463415,1.7697283311772316,All months,2024-05-01,2024-08-31,exact_hour,0,event_at_t_plus_0,11A.1
2948,41,773,25,16,748,2159,0.6097560975609756,0.03234152652005175,0.26221166892808684,0.6097560975609756,2.3254346385637206,All months,2024-05-01,2024-08-31,exact_hour,1,event_at_t_plus_1,11A.1
2944,41,773,23,18,750,2153,0.5609756097560976,0.029754204398447608,0.2625679347826087,0.5609756097560976,2.1364970182690186,All months,2024-05-01,2024-08-31,exact_hour,2,event_at_t_plus_2,11A.1
2940,41,773,17,24,756,2143,0.4146341463414634,0.02199223803363519,0.26292517006802724,0.4146341463414634,1.577004385826523,All months,2024-05-01,2024-08-31,exact_hour,3,event_at_t_plus_3,11A.1
2928,41,773,0,41,773,2114,0.0,0.0,0.26400273224043713,0.0,0.0,All months,2024-05-01,2024-08-31,exact_hour,6,event_at_t_plus_6,11A.1
2948,41,773,25,16,748,2159,0.6097560975609756,0.03234152652005175,0.26221166892808684,0.6097560975609756,2.3254346385637206,All months,2024-05-01,2024-08-31,future_window,1,any_event_next_1h,11A.1
2940,41,1231,26,15,1205,1694,0.6341463414634146,0.021121039805036556,0.41870748299319727,0.6341463414634146,1.5145330982148164,All months,2024-05-01,2024-08-31,future_window,3,any_event_next_3h,11A.1
2928,41,1720,27,14,1693,1194,0.6585365853658537,0.015697674418604653,0.587431693989071,0.6585365853658537,1.1210436755530346,All months,2024-05-01,2024-08-31,future_window,6,any_event_next_6h,11A.1
2904,41,2474,34,7,2440,423,0.8292682926829268,0.0137429264349232,0.8519283746556474,0.8292682926829268,0.9734014235857799,All months,2024-05-01,2024-08-31,future_window,12,any_event_next_12h,11A.1
