bucket,rows,mean_price,median_price,max_price,min_price,mean_abs_price_ramp,mean_risk_score,max_risk_score,version
FN,189,60.80031746031745,53.73,257.35,-73.96,24.0573544973545,15.158730158730158,55.0,8F.1
FP,11,98.7790909090909,99.04,112.51,80.73,17.84181818181818,67.27272727272727,70.0,8F.1
TN,536,68.48878731343285,77.36,115.8,0.0,10.761514018691589,7.229477611940299,55.0,8F.1
TP,8,134.84625,126.34,204.19,114.35,37.975,67.5,85.0,8F.1
