dataset_id,dataset_type,market,start,end,registered,analytics_ready,intake_status,source_exists,adapted_exists,contract_report_exists,source_rows,adapted_rows,intake_row_count,source_file,adapted_file,contract_report,adapter_report,adapter_report_exists,adapted_output
signal_price_evaluation_2024_05,signal_price_evaluation,DE-LU,2024-05-01,2024-05-31,True,True,PASS,True,True,True,744,744,744,data/processed/signal_price_evaluation_DE-LU_2024-05-01_to_2024-05-31.csv,data/adapted/signal_price_evaluation_DE-LU_2024-05-01_to_2024-05-31_registry_adapted.csv,reports/contract_registry_signal_price_evaluation_2024-05-01_to_2024-05-31.md,reports/adapter_registry_signal_price_evaluation_2024-05-01_to_2024-05-31.md,True,data/adapted/signal_price_evaluation_DE-LU_2024-05-01_to_2024-05-31_registry_adapted.csv
signal_price_evaluation_2024_06,signal_price_evaluation,DE-LU,2024-06-01,2024-06-30,True,True,PASS,True,True,True,720,720,720,data/processed/signal_price_evaluation_DE-LU_2024-06-01_to_2024-06-30.csv,data/adapted/signal_price_evaluation_DE-LU_2024-06-01_to_2024-06-30_registry_adapted.csv,reports/contract_registry_signal_price_evaluation_2024-06-01_to_2024-06-30.md,reports/adapter_registry_signal_price_evaluation_2024-06-01_to_2024-06-30.md,True,data/adapted/signal_price_evaluation_DE-LU_2024-06-01_to_2024-06-30_registry_adapted.csv
signal_price_evaluation_2024_07,signal_price_evaluation,DE-LU,2024-07-01,2024-07-31,True,True,PASS,True,True,True,744,744,744,data/processed/signal_price_evaluation_DE-LU_2024-07-01_to_2024-07-31.csv,data/adapted/signal_price_evaluation_DE-LU_2024-07-01_to_2024-07-31_registry_adapted.csv,reports/contract_registry_signal_price_evaluation_2024-07-01_to_2024-07-31.md,reports/adapter_registry_signal_price_evaluation_2024-07-01_to_2024-07-31.md,True,data/adapted/signal_price_evaluation_DE-LU_2024-07-01_to_2024-07-31_registry_adapted.csv
signal_price_evaluation_2024_08,signal_price_evaluation,DE-LU,2024-08-01,2024-08-31,True,True,PASS,True,True,True,744,744,744,data/processed/signal_price_evaluation_DE-LU_2024-08-01_to_2024-08-31.csv,data/adapted/signal_price_evaluation_DE-LU_2024-08-01_to_2024-08-31_registry_adapted.csv,reports/contract_registry_signal_price_evaluation_2024-08-01_to_2024-08-31.md,reports/adapter_registry_signal_price_evaluation_2024-08-01_to_2024-08-31.md,True,data/adapted/signal_price_evaluation_DE-LU_2024-08-01_to_2024-08-31_registry_adapted.csv
