year,price_high_event,high_residual_load,low_renewable_share,high_abs_residual_ramp,composite_fundamental_stress
2020,0.10052367941712204,0.10052367941712204,0.10052367941712204,0.10052367941712204,0.05396174863387978
2021,0.10057077625570776,0.10057077625570776,0.10057077625570776,0.10057077625570776,0.04577625570776256
2022,0.10068493150684932,0.10057077625570776,0.10057077625570776,0.10057077625570776,0.050570776255707765
2023,0.10057077625570776,0.10057077625570776,0.10057077625570776,0.10057077625570776,0.05799086757990868
2024,0.10052367941712204,0.10052367941712204,0.10052367941712204,0.10052367941712204,0.05589708561020036
