reason_code,count,share_of_rows,risk_diagnostic_schema_version
NO_RULE_TRIGGERED,46,0.6388888888888888,4B.1
HIGH_RESIDUAL_LOAD,19,0.2638888888888889,4B.1
LOW_RENEWABLE_SHARE,13,0.18055555555555555,4B.1
HIGH_LOAD_RAMP,8,0.1111111111111111,4B.1
HIGH_RESIDUAL_LOAD_RAMP,7,0.09722222222222222,4B.1
HIGH_RENEWABLE_GENERATION_RAMP,4,0.05555555555555555,4B.1
