state_combination,rows,high_price_event_rate,low_price_event_rate,mean_price_eur_per_mwh,median_price_eur_per_mwh
no_state,33189,0.03567447045707915,0.12829551959986743,95.27322004278525,74.91
ramp_only,3806,0.049921177088807146,0.04072517078297425,113.43715974776669,87.035
renewable_only,2338,0.04576561163387511,0.000427715996578272,130.44374679213,100.16
residual_only,2197,0.6290395994538006,0.0,176.6413472917615,133.0
residual_renewable,1714,0.7246207701283547,0.0,183.94060676779463,140.735
residual_renewable_ramp,252,0.6111111111111112,0.0,159.65761904761905,136.645
residual_ramp,246,0.5691056910569106,0.0,175.0828048780488,136.5
renewable_ramp,105,0.10476190476190476,0.0,157.25228571428573,128.04
