reason_code,rows,signal_positive_rows,price_event_rows,price_event_share,mean_price,median_price,mean_risk_score,version
HIGH_RESIDUAL_LOAD,85,7,55,0.6470588235294118,96.2290588235294,107.48,37.11764705882353,8F.1
HIGH_RESIDUAL_LOAD_RAMP,50,5,25,0.5,68.0196,78.74000000000001,32.0,8F.1
HIGH_RENEWABLE_GENERATION_RAMP,59,4,25,0.423728813559322,65.37355932203391,75.65,26.1864406779661,8F.1
LOW_RENEWABLE_SHARE,71,3,22,0.30985915492957744,105.6594366197183,94.12,33.732394366197184,8F.1
HIGH_LOAD_RAMP,49,3,14,0.2857142857142857,89.1204081632653,94.98,23.571428571428573,8F.1
