regime_label,rows,price_event_rows,price_event_share,mean_price,median_price,max_price,mean_abs_price_ramp,version
NORMAL,645,131,0.20310077519379846,76.03717829457365,87.73,250.01,12.989922360248444,8F.1
STRESSED,8,3,0.375,123.67500000000001,121.97,138.49,28.1875,8F.1
WATCH,91,58,0.6373626373626373,120.98593406593406,113.97,289.27,38.784285714285716,8F.1
