reason_code,count,share_of_rows,risk_diagnostic_schema_version
NO_RULE_TRIGGERED,538,0.7231182795698925,4B.1
HIGH_RESIDUAL_LOAD_RAMP,69,0.09274193548387097,4B.1
HIGH_RENEWABLE_GENERATION_RAMP,64,0.08602150537634409,4B.1
HIGH_LOAD_RAMP,63,0.0846774193548387,4B.1
LOW_RENEWABLE_SHARE,58,0.07795698924731183,4B.1
HIGH_RESIDUAL_LOAD,47,0.06317204301075269,4B.1
